"company","tikr","price"
"Old National Bancorp","ONB",19.65
"PROG Holdings, Inc.","PRG",43.31
"Plus Therapeutics, Inc.","PSTV",1.19
"Pharvaris NV","PHVS",17.99
"ResMed, Inc.","RMD",237.13
"Primo Water Corp.","PRMW",17.36
"Royalty Pharma Plc","RPRX",40.26
"Orbital Energy Group, Inc.","OEG",2.07
"Service Properties Trust","SVC",9.7
"NXP Semiconductors NV","NXPI",221.25
"ProQR Therapeutics NV","PRQR",7.03
"Zurn Water Solutions Corp","ZWS",34.7
"OpGen, Inc.","OPGN",0.98
"Polaris Inc.","PII",114.85
"People's United Financial, Inc.","PBCT",20.38
"Qualigen Therapeutics, Inc.","QLGN",1.05
"Prudential Financial, Inc.","PRU",114.82
"NortonLifeLock, Inc.","NLOK",26.6
"PTC Therapeutics, Inc.","PTCT",38.11
"Precision BioSciences, Inc.","DTIL",6.57
"Predictive Oncology, Inc.","POAI",0.96
"Patterson-UTI Energy, Inc.","PTEN",9.63
"SINTX Technologies, Inc.","SINT",0.66
"Nu Holdings Ltd.","NU",9.35
"Paramount Gold Nevada Corp.","PZG",0.67
"Sentage Holdings, Inc.","SNTG",1.01
"Oil States International, Inc.","OIS",5.87
"Planet Green Holdings Corp.","PLAG",0.99
"Rubius Therapeutics, Inc.","RUBY",9.54
"Skechers U.S.A., Inc.","SKX",46.03
"Nymox Pharmaceutical Corp.","NYMX",1.4
"Saul Centers, Inc.","BFS",53.81
"Public Storage","PSA",355.7
"QuantumScape Corp.","QS",21.02
"Preferred Apartment Communities, Inc.","APTS",17.91
"ShiftPixy, Inc.","PIXY",0.91
"Selecta Biosciences, Inc.","SELB",2.91
"Sabra Health Care REIT, Inc.","SBRA",14.31
"Pyxis Tankers, Inc.","PXS",0.51
"Principal Financial Group, Inc.","PFG",76.28
"One Stop Systems, Inc.","OSS",4.77
"Old Dominion Freight Line, Inc.","ODFL",332.57
"Optibase Ltd.","OBAS",11.99
"Roblox Corporation - Ordinary Shares - Class A","RBLX",84.37
"Phillips 66","PSX",81.95
"Pioneer Power Solutions, Inc.","PPSI",7.72
"salesforce.com, inc.","CRM",228.26
"SCYNEXIS, Inc.","SCYX",6.32
"Papa John's International, Inc.","PZZA",127.67
"Prothena Corp. Plc","PRTA",41.3
"ReWalk Robotics Ltd.","RWLK",1.2
"Regency Centers Corp.","REG",75.71
"SBA Communications Corp.","SBAC",347.68
"Ross Stores, Inc.","ROST",104.96
"Progenity, Inc.","PROG",1.93
"Power REIT","PW",69.19
"PTC, Inc.","PTC",115.15
"Opera Ltd.","OPRA",6.79
"Ready Capital Corp.","RC",16.03
"SeaWorld Entertainment, Inc.","SEAS",68.34
"Oatly Group AB","OTLY",7.98
"Roku, Inc.","ROKU",180.36
"Sendas Distribuidora SA","ASAI",10.14
"Physicians Realty Trust","DOC",18.86
"Sino-Global Shipping America Ltd.","SINO",4.97
"Porch Group, Inc.","PRCH",13.11
"Silvercorp Metals, Inc.","SVM",3.42
"Pilgrim's Pride Corp.","PPC",28.46
"Oncolytics Biotech, Inc.","ONCY",1.31
"NuCana Plc","NCNA",2.44
"Shopify, Inc.","SHOP",1144.09
"Protalix Biotherapeutics, Inc.","PLX",0.84
"OneSmart International Education Group Ltd","ONE",0.29
"Professional Diversity Network, Inc.","IPDN",0.87
"SG Blocks, Inc.","SGBX",1.91
"Penn National Gaming, Inc.","PENN",47.27
"Outlook Therapeutics, Inc.","OTLK",1.26
"Rollins, Inc.","ROL",33.7
"Recon Technology Ltd.","RCON",1.27
"Ring Energy, Inc.","REI",2.77
"Salem Media Group, Inc.","SALM",3.15
"Open Text Corp.","OTEX",46.14
"Pampa Energía SA","PAM",19.13
"Oncternal Therapeutics, Inc.","ONCT",2.13
"OrganiGram Holdings, Inc.","OGI",1.63
"PEDEVCO Corp.","PED",1.16
"Oblong, Inc.","OBLG",0.94
"Parsons Corp.","PSN",33.18
"Renren Inc.","RENN",18.23
"Party City Holdco, Inc.","PRTY",6.4
"Sensata Technologies Holding Plc","ST",62.91
"SandRidge Energy, Inc.","SD",10.88
"ServiceSource International, Inc.","SREV",1.03
"OneConnect Financial Technology Co. Ltd.","OCFT",2.29
"Regencell Bioscience Holdings Ltd.","RGC",31.57
"O'Reilly Automotive, Inc.","ORLY",682.65
"Redwood Trust, Inc.","RWT",13.03
"Petróleo Brasileiro SA","PBR/A",9.97
"Playa Hotels & Resorts NV","PLYA",7.95
"Oracle Corp.","ORCL",87.5
"Provention Bio, Inc.","PRVB",5.23
"Orphazyme A/S","ORPH",2.33
"Personalis, Inc.","PSNL",12.91
"Robert Half International, Inc.","RHI",110.01
"Sachem Capital Corp.","SACH",6.18
"Pangaea Logistics Solutions Ltd.","PANL",3.95
"Orchard Therapeutics Plc","ORTX",1.28
"OptiNose, Inc.","OPTN",1.79
"Oshkosh Corp.","OSK",119.74
"Oncocyte Corporation","OCX",2.07
"RLX Technology, Inc.","RLX",3.67
"PetMed Express, Inc.","PETS",24.83
"Rapid7, Inc.","RPD",100.88
"Pintec Technology Holdings Ltd.","PT",0.48
"Qualys, Inc.","QLYS",125.52
"Renewable Energy Group, Inc.","REGI",45.88
"S&P Global, Inc.","SPGI",446.77
"Omnicom Group, Inc.","OMC",78.38
"Remark Holdings, Inc.","MARK",0.96
"PacWest Bancorp","PACW",49.91
"Skillful Craftsman Education Technology Ltd.","EDTK",0.98
"Rada Electronic Industries Ltd.","RADA",9.32
"Red Rock Resorts, Inc.","RRR",50.42
"Nutanix, Inc.","NTNX",30.49
"Performance Shipping, Inc.","PSHG",3.75
"Quanta Services, Inc.","PWR",106.66
"SITE Centers Corp.","SITC",16.02
"Rayonier, Inc.","RYN",38.9
"Republic Services, Inc.","RSG",133.79
"QIAGEN NV","QGEN",50.41
"PACCAR, Inc.","PCAR",93.43
"Postal Realty Trust, Inc.","PSTL",19.18
"Plymouth Industrial REIT, Inc.","PLYM",28.86
"Ovid Therapeutics, Inc.","OVID",3.31
"PepsiCo, Inc.","PEP",174.06
"Peabody Energy Corp.","BTU",11.37
"OceanFirst Financial Corp.","OCFC",23.71
"RCM Technologies, Inc.","RCMT",6.99
"PVH Corp.","PVH",107
"Rivian Automotive, Inc.","RIVN",86.27
"SilverCrest Metals, Inc.","SILV",7.03
"ON Semiconductor Corp.","ON",64.44
"Portage Biotech, Inc.","PRTG",11.15
"Digimarc Corp.","DMRC",37.58
"Compass Pathways Plc","CMPS",18.85
"Comstock Mining, Inc.","LODE",1.41
"Electrameccanica Vehicles Corp.","SOLO",2.19
"Enerpac Tool Group Corp.","EPAC",20.4
"Dada Nexus Ltd.","DADA",11.48
"CorVel Corp.","CRVL",190.59
"eBay, Inc.","EBAY",66.32
"Corteva, Inc.","CTVA",48.42
"E-Home Household Service Holdings Ltd.","EJH",1.3
"Enanta Pharmaceuticals, Inc.","ENTA",68.87
"Energous Corp.","WATT",1.24
"Color Star Technology Co., Ltd.","CSCW",0.5
"DigitalBridge Group, Inc.","DBRG",7.7
"CoreCivic, Inc.","CXW",10.37
"Columbus McKinnon Corp.","CMCO",48.93
"Commerce Bancshares, Inc. (Missouri)","CBSH",73.37
"Clearfield, Inc.","CLFD",71.81
"Cresud SA","CRESY",4.64
"EMCOR Group, Inc.","EME",125.56
"Dillard's, Inc.","DDS",233.19
"CMC Materials, Inc.","CCMP",189.38
"Cracker Barrel Old Country Store, Inc.","CBRL",136.38
"Dun & Bradstreet Holdings, Inc.","DNB",19.65
"Emergent BioSolutions, Inc.","EBS",48.81
"Eastman Kodak Co.","KODK",4.55
"CRISPR Therapeutics AG","CRSP",67.75
"Comcast Corp.","CMCSA",50.04
"Constellation Brands, Inc.","STZ/B",226.15
"Compugen Ltd.","CGEN",4.13
"Day One Biopharmaceuticals, Inc.","DAWN",16.05
"Creative Realities, Inc.","CREX",1.44
"Cross Country Healthcare, Inc.","CCRN",25.95
"Coca-Cola Europacific Partners Plc","CCEP",57.81
"Elys Game Technology Corp.","ELYS",2.59
"Consolidated Edison, Inc.","ED",85.69
"Enovix Corp.","ENVX",19.81
"Curtiss-Wright Corp.","CW",138.81
"EchoStar Corp.","SATS",26.13
"Daqo New Energy Corp.","DQ",40.06
"Enterprise Bancorp, Inc.","EBTC",44.89
"Dentsply Sirona, Inc.","XRAY",56.41
"CymaBay Therapeutics, Inc.","CBAY",3.3
"Commvault Systems, Inc.","CVLT",66.7
"Cocrystal Pharma, Inc.","COCP",0.59
"Diffusion Pharmaceuticals, Inc.","DFFN",0.3
"Citizens Financial Group, Inc. (Rhode Island)","CFG",54.22
"DT Midstream, Inc.","DTM",49.41
"Codorus Valley Bancorp, Inc.","CVLY",22.08
"Donegal Group, Inc.","DGICB",14.51
"CTS Corp.","CTS",36.32
"Design Therapeutics, Inc.","DSGN",17.94
"CVS Health Corp.","CVS",104.19
"Clover Health Investments Corp.","CLOV",3.15
"Daseke, Inc.","DSKE",9.76
"Edison International","EIX",65
"Eagle Materials, Inc.","EXP",161.09
"Dorman Products, Inc.","DORM",108.04
"Coupa Software, Inc.","COUP",137.62
"Colony Bankcorp, Inc.","CBAN",17.85
"Ebix, Inc.","EBIX",30.29
"Dream Finders Homes, Inc.","DFH",18.08
"Electronic Arts, Inc.","EA",131.82
"Energy Recovery, Inc.","ERII",19.83
"COMSovereign Holding Corp.","COMS",0.66
"CIRCOR International, Inc.","CIR",25.71
"Criteo SA","CRTO",35.68
"ENDRA Life Sciences, Inc.","NDRA",0.7
"Cirrus Logic, Inc.","CRUS",88.07
"Cutera, Inc.","CUTR",37.08
"Citizens, Inc. (Austin, Texas)","CIA",5.31
"comScore, Inc.","SCOR",3.37
"Citizens Holding Co. (Mississippi)","CIZN",18.65
"Coastal Financial Corp. (Washington)","CCB",53.45
"Delek US Holdings, Inc.","DK",17.01
"DMC Global, Inc.","BOOM",43.17
"CTO Realty Growth, Inc.","CTO",62.81
"CoStar Group, Inc.","CSGP",71.87
"Dave & Buster's Entertainment, Inc.","PLAY",38.41
"DoorDash, Inc.","DASH",132.23
"ContextLogic, Inc.","WISH",2.74
"Constellium SE","CSTM",18.68
"Coda Octopus Group, Inc.","CODA",7.56
"Cosan SA","CSAN",14.03
"Daktronics, Inc.","DAKT",5.16
"ClearOne, Inc.","CLRO",1.37
"CMS Energy Corp.","CMS",65.06
"Costco Wholesale Corp.","COST",536.07
"CSX Corp.","CSX",37.5
"Crown Castle International Corp.","CCI",194.72
"Custom Truck One Source, Inc.","CTOS",7.81
"Clene, Inc.","CLNN",3.94
"Consumer Portfolio Services, Inc.","CPSS",11.28
"Dover Corp.","DOV",182.96
"Credit Acceptance Corp.","CACC",633.89
"Electro-Sensors, Inc.","ELSE",5.95
"Energy Fuels, Inc.","UUUU",8.35
"Daré Bioscience, Inc.","DARE",1.77
"Eldorado Gold Corp.","EGO",9.07
"Energizer Holdings, Inc.","ENR",40.8
"Decibel Therapeutics, Inc.","DBTX",4.55
"Endeavour Silver Corp.","EXK",3.86
"Eloxx Pharmaceuticals, Inc.","ELOX",0.63
"Core Molding Technologies, Inc.","CMT",8.68
"DBV Technologies SA","DBVT",1.69
"Codex DNA, Inc.","DNAY",9.41
"Duos Technologies Group, Inc.","DUOT",5.25
"Encompass Health Corp.","EHC",64.48
"Diana Shipping, Inc.","DSX",4.09
"CYREN Ltd.","CYRN",0.3
"Community West Bancshares","CWBC",13.85
"Eli Lilly & Co.","LLY",259.53
"Dropbox, Inc.","DBX",23.61
"Crane Co.","CR",104.9
"Cornerstone Building Brands, Inc.","CNR",16.6
"Elbit Systems Ltd.","ESLT",176.4
"D.R. Horton, Inc.","DHI",95.2
"CVRx, Inc.","CVRX",10.52
"Energy Focus, Inc.","EFOI",3.43
"DXP Enterprises, Inc.","DXPE",26.42
"Endo International Plc","ENDP",3.59
"Companhia Brasileira de Distribuicao","CBD",3.4
"Daxor Corp.","DXR",11.44
"CS Disco, Inc.","LAW",32.05
"Deere & Co.","DE",378.5
"CNB Financial Corp. (Pennsylvania)","CCNE",27.82
"Cowen, Inc.","COWN",35.77
"Dow, Inc.","DOW",59.09
"Citizens Community Bancorp, Inc. (Wisconsin)","CZWI",14
"Delta Air Lines, Inc.","DAL",41.51
"Document Security Systems, Inc.","DSS",0.66
"Cyclerion Therapeutics, Inc.","CYCN",1.5
"Cytokinetics, Inc.","CYTK",35.14
"Didi Global, Inc.","DIDI",4.51
"Digital Media Solutions, Inc.","DMS",4.5
"Citrix Systems, Inc.","CTXS",95.7
"Crocs, Inc.","CROX",125.74
"DouYu International Holdings Ltd.","DOYU",2.49
"Dril-Quip, Inc.","DRQ",22.7
"Clearway Energy, Inc.","CWEN/A",31.27
"Earthstone Energy, Inc.","ESTE",13.16
"Conn's, Inc.","CONN",24.09
"Diamondback Energy, Inc.","FANG",121.56
"Conduent, Inc.","CNDT",5.94
"Columbia Financial, Inc.","CLBK",21.06
"Corning, Inc.","GLW",37.97
"Encore Wire Corp. (Delaware)","WIRE",128.92
"Culp, Inc.","CULP",9.96
"Crown ElectroKinetics Corp.","CRKN",3.3
"CVB Financial Corp.","CVBF",22.89
"CommScope Holding Co., Inc.","COMM",10.82
"Coherent, Inc.","COHR",264.69
"CNA Financial Corp.","CNA",46.75
"Codiak BioSciences, Inc.","CDAK",10.05
"ClearSign Technologies Corp.","CLIR",1.39
"Ellington Financial, Inc.","EFC",17.37
"Dragon Victory International Ltd.","LYL",1.17
"Enservco Corp.","ENSV",0.89
"Edenor SA","EDN",5.09
"City Holding Co.","CHCO",85.88
"EastGroup Properties, Inc.","EGP",210.72
"Cullen/Frost Bankers, Inc.","CFR",135.58
"Dycom Industries, Inc.","DY",89.83
"Discovery, Inc.","DISCB",36.5
"Domino's Pizza, Inc.","DPZ",508.24
"CVD Equipment Corp.","CVV",4.21
"EnerSys","ENS",78.8
"Companhia Siderurgica Nacional","SID",4.25
"Danimer Scientific, Inc.","DNMR",7.55
"Cognizant Technology Solutions Corp.","CTSH",87.43
"CPS Technologies Corp.","CPSH",3.64
"Diageo Plc","DEO",211.33
"Donaldson Co., Inc.","DCI",59.56
"Dollar General Corp.","DG",238.2
"CNX Resources Corp.","CNX",14.64
"Diversified Healthcare Trust","DHC",3.39
"Cyteir Therapeutics, Inc.","CYT",8.25
"Comerica, Inc.","CMA",97.06
"Colfax Corp.","CFX",44.8
"Eco Wave Power Global AB","WAVE",5.57
"Community Healthcare Trust, Inc.","CHCT",47.56
"Denbury, Inc.","DEN",77.69
"ConnectOne Bancorp, Inc.","CNOB",35.55
"Entergy Corp.","ETR",112.15
"Copart, Inc.","CPRT",136.4
"Citi Trends, Inc.","CTRN",81.1
"Docebo, Inc.","DCBO",53.22
"Duolingo Inc - Ordinary Shares - Class A","DUOL",102.28
"Desktop Metal, Inc.","DM",4.51
"Educational Development Corp.","EDUC",8.44
"Cohen & Co., Inc.","COHN",14.33
"Dogness (International) Corp.","DOGZ",3.47
"Corporate Office Properties Trust, Inc.","OFC",29.19
"Civeo Corp.","CVEO",20.1
"Coinbase Global, Inc.","COIN",232.28
"Cyclacel Pharmaceuticals, Inc.","CYCC",3.92
"Deutsche Bank AG","DB",14.08
"CollPlant Biotechnologies Ltd.","CLGN",13.09
"Eaton Corp. Plc","ETN",167.83
"DZS, Inc.","DZSI",15.76
"Crown Crafts, Inc.","CRWS",7.25
"eGain Corp.","EGAN",9.98
"CooTek (Cayman) Inc.","CTK",0.48
"Despegar.com Corp.","DESP",9.69
"Emerson Electric Co.","EMR",95.68
"Emerson Radio Corp.","MSN",0.85
"Dana, Inc.","DAN",23.93
"CompX International, Inc.","CIX",22.97
"Cyanotech Corp.","CYAN",3.07
"Drive Shack, Inc.","DS",1.5
"Companhia de Saneamento Basico do Estado de Sao Paulo SABESP","SBS",6.34
"DuPont de Nemours, Inc.","DD",83.19
"Dell Technologies, Inc.","DELL",57.99
"Concentrix Corp.","CNXC",164.19
"Dingdong (Cayman) Ltd.","DDL",12.28
"CytoSorbents Corp.","CTSO",3.73
"Empire State Realty Trust, Inc.","ESRT",10.16
"Discovery, Inc.","DISCK",29.35
"East West Bancorp, Inc.","EWBC",86.82
"DURECT Corp.","DRRX",0.84
"Colliers International Group, Inc.","CIGI",142.02
"Constellation Brands, Inc.","STZ",246.17
"Emerald Holding, Inc.","EEX",3.69
"CorMedix, Inc.","CRMD",4.85
"Enerplus Corp.","ERF",11.1
"DexCom, Inc.","DXCM",471.5
"Enphase Energy, Inc.","ENPH",145.14
"Clever Leaves Holdings, Inc.","CLVR",2.65
"Clean Energy Fuels Corp.","CLNE",6.21
"Eagle Bulk Shipping, Inc.","EGLE",45.33
"Coffee Holding Co., Inc.","JVA",4.34
"Companhia Paranaense de Energia","ELP",5.26
"Eiger BioPharmaceuticals, Inc.","EIGR",4.89
"CubeSmart","CUBE",51.22
"Del Taco Restaurants, Inc.","TACO",12.48
"Coca-Cola Consolidated, Inc.","COKE",602.16
"Corcept Therapeutics, Inc.","CORT",18.94
"Darling Ingredients, Inc.","DAR",65.49
"Clovis Oncology, Inc.","CLVS",2.55
"Energy Transfer LP","ET",9.24
"EMCORE Corp.","EMKR",6.5
"Community Trust Bancorp, Inc. (Kentucky)","CTBI",45.54
"Diodes, Inc.","DIOD",100.25
"Corsair Gaming, Inc.","CRSR",20.78
"Deluxe Corp.","DLX",32.03
"Dine Brands Global, Inc.","DIN",76.73
"Cross Timbers Royalty Trust","CRT",12
"Credit Suisse Group AG","CS",10.19
"Crescent Capital BDC, Inc.","CCAP",17.96
"Ellington Residential Mortgage REIT","EARN",10.83
"Communications Systems, Inc.","JCS",2.47
"CSP, Inc.","CSPI",8.7
"Danaos Corp.","DAC",70.09
"Cinemark Holdings, Inc.","CNK",17.15
"Dollar Tree, Inc.","DLTR",140.92
"Cintas Corp.","CTAS",397.44
"Ebang International Holdings, Inc.","EBON",1.02
"CrossFirst Bankshares, Inc.","CFB",15.99
"CSW Industrials, Inc.","CSWI",123.2
"Eltek Ltd.","ELTK",4
"DIRTT Environmental Solutions Ltd.","DRTT",2.25
"Crown Holdings, Inc.","CCK",109.57
"Cricut, Inc.","CRCT",23.37
"CorePoint Lodging, Inc.","CPLG",15.65
"Clarivate Plc","CLVT",22.37
"Customers Bancorp, Inc.","CUBI",74.54
"Companhia Energética de Minas Gerais SA","CIG",2.2
"Commercial Metals Co.","CMC",35.61
"Clearway Energy, Inc.","CWEN",33.87
"CNH Industrial NV","CNHI",16.15
"Dunxin Financial Holdings Ltd.","DXF",1.04
"CONSOL Energy, Inc.","CEIX",23.52
"DXC Technology Co.","DXC",33.32
"Cronos Group, Inc.","CRON",3.91
"Crescent Point Energy Corp.","CPG",6.11
"DHI Group, Inc.","DHX",6.06
"Compass, Inc. (New York)","COMP",8.53
"Commercial Vehicle Group, Inc.","CVGI",8.1
"Corvus Gold, Inc.","KOR",3.23
"electroCore, Inc.","ECOR",0.54
"DiamondRock Hospitality Co.","DRH",10.06
"Comfort Systems USA, Inc.","FIX",95.91
"Electric Last Mile Solutions, Inc.","ELMS",6.41
"Cortexyme, Inc.","CRTX",12.05
"Community Bank System, Inc.","CBU",77.19
"ENGlobal Corp.","ENG",1.24
"Denison Mines Corp.","DNN",1.46
"Editas Medicine, Inc.","EDIT",25.15
"DocuSign, Inc.","DOCU",135.88
"Dorian LPG Ltd.","LPG",13.9
"Comtech Telecommunications Corp.","CMTL",23.61
"CorEnergy Infrastructure Trust, Inc.","CORR",3.72
"Duck Creek Technologies, Inc.","DCT",27.15
"Curis, Inc.","CRIS",3.48
"Deckers Outdoor Corp.","DECK",338.44
"CNO Financial Group, Inc.","CNO",25.45
"Douglas Emmett, Inc.","DEI",36.48
"Data I/O Corp.","DAIO",4.75
"Dyadic International, Inc.","DYAI",4.2
"Citizens & Northern Corp.","CZNC",27.35
"DallasNews Corp.","DALN",7.37
"Computer Task Group, Inc.","CTG",9.47
"Ducommun, Inc.","DCO",46.96
"Columbia Banking System, Inc.","COLB",36.07
"Danaher Corp.","DHR",295.65
"e.l.f. Beauty, Inc.","ELF",31.07
"Darden Restaurants, Inc.","DRI",145.69
"Cumberland Pharmaceuticals, Inc.","CPIX",4.27
"CVR Energy, Inc.","CVI",19.99
"Eledon Pharmaceuticals, Inc.","ELDN",4.09
"Dime Community Bancshares, Inc.","DCOM",36.76
"Enbridge, Inc.","ENB",40.58
"EDAP TMS SA","EDAP",6.33
"Digital Realty Trust, Inc.","DLR",161
"Cleanspark, Inc.","CLSK",8.15
"Delcath Systems, Inc.","DCTH",7.43
"Citius Pharmaceuticals, Inc.","CTXR",1.6
"Edgewell Personal Care Co.","EPC",48.82
"Creatd, Inc.","CRTD",2.18
"Clearpoint Neuro, Inc.","CLPT",10.35
"Crinetics Pharmaceuticals, Inc.","CRNX",25.33
"Dawson Geophysical Co.","DWSN",2.31
"Dolphin Entertainment, Inc.","DLPN",7.83
"Digi International, Inc.","DGII",24.33
"Couchbase, Inc.","BASE",22.04
"Cousins Properties, Inc.","CUZ",42.15
"Civista Bancshares, Inc.","CIVB",25.53
"Clear Channel Outdoor Holdings, Inc.","CCO",3.2
"Dynex Capital, Inc.","DX",16.91
"CyrusOne, Inc.","CONE",89.31
"Douglas Dynamics, Inc.","PLOW",39.4
"Citigroup, Inc.","C",65.78
"Discovery, Inc.","DISCA",30.05
"Emclaire Financial Corp.","EMCF",28.34
"CRA International, Inc.","CRAI",91.9
"Enthusiast Gaming Holdings, Inc.","EGLX",2.63
"Dyne Therapeutics, Inc.","DYN",10.85
"Discover Financial Services","DFS",125.71
"Data Storage Corp.","DTST",3.74
"Diamond Hill Investment Group, Inc.","DHIL",188.5
"DarioHealth Corp.","DRIO",11.28
"Dolby Laboratories, Inc.","DLB",92.35
"Element Solutions, Inc.","ESI",23.89
"Comstock Holding Cos., Inc.","CHCI",4.5
"Codexis, Inc.","CDXS",25.59
"Eastman Chemical Co.","EMN",122.4
"CURO Group Holdings Corp.","CURO",16.41
"Compass Minerals International, Inc.","CMP",54.96
"Corporacion America Airports SA","CAAP",5.8
"DiaMedica Therapeutics, Inc.","DMAC",3.62
"Crexendo, Inc.","CXDO",4.76
"CPI Aerostructures, Inc.","CVU",2.7
"Cloudflare, Inc.","NET",107
"Corvus Pharmaceuticals, Inc.","CRVS",2.14
"eMagin Corp.","EMAN",1.77
"CuriosityStream, Inc.","CURI",5.87
"CyberArk Software Ltd.","CYBR",158.07
"DraftKings, Inc.","DKNG",27.23
"Designer Brands, Inc.","DBI",13.96
"Entravision Communications Corp.","EVC",6.3
"CureVac NV","CVAC",30.77
"Conagra Brands, Inc.","CAG",34.75
"Enterprise Financial Services Corp.","EFSC",49.57
"Dick's Sporting Goods, Inc.","DKS",109.31
"Duke Energy Corp.","DUK",104.48
"Connect Biopharma Holdings Ltd.","CNTB",4.6
"Coursera Inc","COUR",23.22
"Cummins, Inc.","CMI",234.44
"Convey Health Solutions Holdings, Inc.","CNVY",7.57
"Ennis, Inc.","EBF",19.34
"Embraer SA","ERJ",17.03
"Donnelley Financial Solutions, Inc.","DFIN",39.52
"CME Group, Inc.","CME",225.06
"CytomX Therapeutics, Inc.","CTMX",3.9
"Diebold Nixdorf, Inc.","DBD",9.73
"Edesa Biotech, Inc.","EDSA",5.38
"CrowdStrike Holdings, Inc.","CRWD",188.99
"Clearside Biomedical, Inc.","CLSD",2.53
"Engine Gaming and Media Inc","GAME",3.01
"Clear Secure, Inc.","YOU",26.17
"CryoLife, Inc.","CRY",20.36
"Dynatrace, Inc.","DT",54.06
"DermTech, Inc.","DMTK",15.15
"Ekso Bionics Holdings, Inc.","EKSO",2.67
"Cyclo Therapeutics, Inc.","CYTH",4.27
"CyberOptics Corp.","CYBE",40.58
"Enochian Biosciences, Inc.","ENOB",6.62
"Eni SpA","E",29.18
"eHealth, Inc.","EHTH",24.39
"Coty, Inc.","COTY",10.02
"Clipper Realty, Inc.","CLPR",9.81
"Elevation Oncology, Inc.","ELEV",5.99
"CNFinance Holdings Ltd.","CNF",4.35
"Companhia Energética de Minas Gerais SA","CIG/C",3.08
"Domo, Inc.","DOMO",44.5
"Cue Biopharma, Inc.","CUE",10.54
"Comstock Resources, Inc.","CRK",8.56
"CLPS, Inc.","CLPS",2.03
"Electromed, Inc.","ELMD",12.75
"Construction Partners, Inc.","ROAD",28.6
"Cohen & Steers, Inc. (New York)","CNS",90.93
"CohBar, Inc.","CWBR",0.4
"Columbia Sportswear Co.","COLM",94.29
"Cisco Systems, Inc.","CSCO",61.15
"CKX Lands, Inc.","CKX",11.55
"Digital Brands Group, Inc.","DBGI",2.3
"Cleveland-Cliffs, Inc.","CLF",23.36
"Dominion Energy, Inc.","D",80.2
"EnPro Industries, Inc.","NPO",114.68
"Eagle Bancorp Montana, Inc.","EBMT",23.01
"Donegal Group, Inc.","DGICA",14.84
"CynergisTek, Inc.","CTEK",1.44
"Confluent, Inc.","CFLT",67.09
"Co-Diagnostics, Inc.","CODX",9.29
"Encore Capital Group, Inc.","ECPG",60.02
"Elastic NV","ESTC",108.22
"Crawford & Co.","CRD/B",7.97
"Coherus BioSciences, Inc.","CHRS",14.72
"Collegium Pharmaceutical, Inc.","COLL",19.24
"Coca-Cola FEMSA SAB de CV","KOF",53.8
"Doximity, Inc.","DOCS",47.63
"Clarus Corp.","CLAR",25.48
"Cullinan Oncology, Inc.","CGEM",14.75
"Deciphera Pharmaceuticals, Inc.","DCPH",8.93
"Community Health Systems, Inc.","CYH",12.05
"Easterly Government Properties, Inc.","DEA",23.05
"Covenant Logistics Group, Inc.","CVLG",22.5
"Ellomay Capital Ltd.","ELLO",28.78
"ContraFect Corp.","CFRX",2.53
"Denny's Corp.","DENN",15.86
"Controladora Vuela Compañía de Aviación SAB de CV","VLRS",18.54
"Cognyte Software Ltd.","CGNT",14.32
"Cognex Corp.","CGNX",71.48
"Daily Journal Corp.","DJCO",377.2
"Digital Turbine, Inc.","APPS",52.41
"Cuentas, Inc.","CUEN",1.24
"ConocoPhillips","COP",80.62
"Eagle Bancorp, Inc. (Maryland)","EGBN",62.78
"CTI BioPharma Corp.","CTIC",2.24
"Eargo, Inc.","EAR",6.34
"Dynavax Technologies Corp.","DVAX",13.52
"Cushman & Wakefield Plc","CWK",21.71
"CSG Systems International, Inc.","CSGS",58.33
"Crawford & Co.","CRD/A",7.89
"Devon Energy Corp.","DVN",48.89
"Cohu, Inc.","COHU",35.9
"Concert Pharmaceuticals, Inc.","CNCE",3.12
"Elanco Animal Health, Inc.","ELAN",27.05
"Clearwater Paper Corp.","CLW",36.82
"Edwards Lifesciences Corp.","EW",122.33
"DISH Network Corp.","DISH",34.38
"Cloopen Group Holding Ltd.","RAAS",2.48
"Delta Apparel, Inc.","DLA",29.64
"Digital Ally, Inc.","DGLY",1.06
"CONMED Corp.","CNMD",143.06
"CRH Plc","CRH",52.97
"Edgewise Therapeutics, Inc.","EWTX",17.56
"Ensysce Biosciences, Inc.","ENSC",3.98
"Core Laboratories NV","CLB",26.18
"Cumulus Media, Inc.","CMLS",10.75
"Continental Resources, Inc.","CLR",49.43
"Elevate Credit, Inc.","ELVT",2.98
"DTE Energy Co.","DTE",119.68
"Dynatronics Corp.","DYNT",1.04
"Coeur Mining, Inc.","CDE",4.85
"Corbus Pharmaceuticals Holdings, Inc.","CRBP",0.56
"Code Chain New Continent Ltd.","CCNC",0.98
"Covetrus, Inc.","CVET",17.75
"ConforMIS, Inc.","CFMS",0.7
"Clean Harbors, Inc.","CLH",95.79
"Ecolab, Inc.","ECL",229.92
"Denali Therapeutics, Inc.","DNLI",41.6
"Entegris, Inc.","ENTG",132.03
"Datasea, Inc.","DTSS",1.39
"DaVita, Inc.","DVA",111.56
"ECMOHO Ltd.","MOHO",0.39
"Cogent Biosciences, Inc.","COGT",8.32
"EHang Holdings Ltd.","EH",15.41
