"","company","tikr","price"
"408","Allogene Therapeutics, Inc.","ALLO",13.46
"409","Apogee Enterprises, Inc.","APOG",47.22
"410","Ameren Corp.","AEE",88.23
"411","Armata Pharmaceuticals, Inc.","ARMP",5.94
"412","Anixa Biosciences, Inc.","ANIX",3.15
"413","Alphabet, Inc.","GOOGL",2740.24
"414","Acadia Realty Trust","AKR",22.18
"415","Amneal Pharmaceuticals, Inc.","AMRX",4.63
"416","American Superconductor Corp.","AMSC",10.24
"417","Alexander's, Inc.","ALX",272.88
"418","Applied Therapeutics, Inc.","APLT",4.14
"419","Abbott Laboratories","ABT",135.53
"420","1895 Bancorp of Wisconsin, Inc.","BCOW",10.85
"421","AIM ImmunoTech, Inc.","AIM",0.91
"422","Arcimoto, Inc.","FUV",7.52
"423","Amedisys, Inc.","AMED",148.92
"424","Alico, Inc.","ALCO",38.15
"425","Amerant Bancorp, Inc.","AMTB",34.78
"426","Anterix, Inc.","ATEX",55.5
"427","AdaptHealth Corp.","AHCO",22.26
"428","Art's-Way Manufacturing Co., Inc.","ARTW",3.5
"429","Avalon GloboCare Corp.","AVCO",0.74
"430","Avadel Pharmaceuticals Plc","AVDL",6.99
"431","Acacia Research Corp.","ACTG",5.07
"432","Apria, Inc.","APR",29.68
"433","Avaya Holdings Corp.","AVYA",18.8
"434","Ares Commercial Real Estate Corp.","ACRE",14.75
"435","Afya Ltd.","AFYA",13.5
"436","ASGN, Inc.","ASGN",119.56
"437","Air Products & Chemicals, Inc.","APD",297.47
"438","Acme United Corp.","ACU",33.06
"439","Applied UV, Inc.","AUVI",2.15
"440","Asensus Surgical Inc","ASXC",0.95
"441","American Shared Hospital Services","AMS",2.36
"442","Accolade, Inc. (Pennsylvania)","ACCD",20.92
"443","American Outdoor Brands, Inc.","AOUT",18.37
"444","ABM Industries, Inc.","ABM",42.94
"445","Ark Restaurants Corp.","ARKR",17.04
"446","Ampco-Pittsburgh Corp.","AP",5.64
"447","Amplitude, Inc.","AMPL",43
"448","Alexandria Real Estate Equities, Inc.","ARE",209.08
"449","AutoNation, Inc.","AN",112.6
"450","Alpha Pro Tech Ltd.","APT",6.11
"451","89bio, Inc.","ETNB",13.1
"452","Affiliated Managers Group, Inc.","AMG",163.93
"453","AMERCO","UHAL",701.88
"454","ArcelorMittal SA","MT",34.81
"455","Array Technologies, Inc.","ARRY",14.11
"456","Aon Plc","AON",282.9
"457","ACM Research, Inc.","ACMR",82
"458","American Assets Trust, Inc.","AAT",38.62
"459","ATI Physical Therapy, Inc.","ATIP",3.11
"460","Accuray, Inc.","ARAY",4.28
"461","Adial Pharmaceuticals, Inc.","ADIL",2.55
"462","Aehr Test Systems","AEHR",16.14
"463","Alight, Inc.","ALIT",9.78
"464","Alpine Income Property Trust, Inc.","PINE",20.01
"465","American Campus Communities, Inc.","ACC",55.43
"466","Allakos, Inc.","ALLK",8.41
"467","Aeva Technologies, Inc.","AEVA",6.66
"468","Amtech Systems, Inc.","ASYS",9.07
"469","ACADIA Pharmaceuticals, Inc.","ACAD",22.59
"470","Ambev SA","ABEV",2.6
"471","Alterity Therapeutics Ltd.","ATHE",1
"472","Affinity Bancshares, Inc.","AFBI",15.85
