"","company","tikr","price"
"2224","PainReform Ltd.","PRFX",1.34
"2225","Paratek Pharmaceuticals, Inc.","PRTK",4.52
"2226","Public Service Enterprise Group, Inc.","PEG",67.02
"2227","Pan American Silver Corp.","PAAS",22.46
"2228","RELX Plc","RELX",30.1
"2229","Shift Technologies, Inc.","SFT",3.04
"2230","Silvergate Capital Corp.","SI",128.39
"2231","Schlumberger NV","SLB",35.03
"2232","Perrigo Co. Plc","PRGO",40.72
"2233","RingCentral, Inc.","RNG",172.48
"2234","Precigen, Inc.","PGEN",3.18
"2235","Peloton Interactive, Inc.","PTON",35.55
"2236","Perion Network Ltd.","PERI",21.5
"2237","Pure Storage, Inc.","PSTG",29.84
"2238","Pingtan Marine Enterprise, Ltd.","PME",0.52
"2239","QUALCOMM, Inc.","QCOM",180.4
"2240","Sequans Communications SA","SQNS",5
"2241","Phio Pharmaceuticals Corp.","PHIO",0.99
"2242","Northrop Grumman Corp.","NOC",400.46
"2243","Skillz, Inc.","SKLZ",6.09
"2244","Save Foods, Inc.","SVFD",4.16
"2245","Santander Consumer USA Holdings, Inc.","SC",41.83
"2246","Orion Engineered Carbons SA","OEC",18.53
"2247","Pearson Plc","PSO",8.3
"2248","Rocket Cos., Inc.","RKT",14.16
"2249","Olin Corp.","OLN",53.91
"2250","PolyPid Ltd.","PYPD",6.22
"2251","Seanergy Maritime Holdings Corp.","SHIP",0.94
"2252","Revolution Medicines, Inc.","RVMD",22.94
"2253","Skylight Health Group, Inc.","SLHG",1.21
"2254","Retractable Technologies, Inc.","RVP",6.51
"2255","Parker-Hannifin Corp.","PH",323.75
"2256","Rhythm Pharmaceuticals, Inc.","RYTM",9.3
"2257","Orange SA","ORAN",10.74
"2258","Seres Therapeutics, Inc.","MCRB",8.54
"2259","RiceBran Technologies","RIBT",0.32
"2260","Sesen Bio, Inc.","SESN",0.83
"2261","SelectQuote, Inc.","SLQT",8.11
"2262","Novanta, Inc.","NOVT",159.66
"2263","RPC, Inc.","RES",5.72
"2264","Sally Beauty Holdings, Inc.","SBH",18.05
"2265","OraSure Technologies, Inc.","OSUR",7.96
"2266","PBF Energy, Inc.","PBF",16.3
"2267","Pharming Group NV","PHAR",9.3
"2268","Retail Opportunity Investments Corp.","ROIC",19.55
"2269","Quantum Corp.","QMCO",5.43
"2270","RPM International, Inc.","RPM",91.99
"2271","NOW, Inc.","DNOW",9.23
"2272","NRG Energy, Inc.","NRG",40.56
"2273","Northern Dynasty Minerals Ltd.","NAK",0.34
"2274","SilverSun Technologies, Inc.","SSNT",4.05
"2275","Premier, Inc. (North Carolina)","PINC",40.24
"2276","Power Integrations, Inc.","POWI",85.15
"2277","PennyMac Financial Services, Inc.","PFSI",67.77
"2278","Signet Jewelers Ltd.","SIG",90.89
"2279","NuVasive, Inc.","NUVA",52.17
"2280","Phunware, Inc.","PHUN",2.65
"2281","ORIX Corp.","IX",106.23
"2282","Oceaneering International, Inc.","OII",12.86
"2283","Service Corp. International","SCI",66.14
"2284","Pulmatrix, Inc.","PULM",0.41
"2285","PAE, Inc.","PAE",9.92
"2286","PG&E Corp.","PCG",12.2
"2287","QuickLogic Corp.","QUIK",5.06
"2288","Oragenics, Inc.","OGEN",0.52
"2289","Plug Power, Inc.","PLUG",24.96
"2290","Ondas Holdings, Inc.","ONDS",5.45
"2291","Rush Street Interactive, Inc.","RSI",15.1
"2292","Relay Therapeutics, Inc.","RLAY",26.78
"2293","Sealed Air Corp.","SEE",65.69
"2294","Schneider National, Inc.","SNDR",26.13
"2295","Royal Gold, Inc.","RGLD",99.27
"2296","Palo Alto Networks, Inc.","PANW",525.45
"2297","Rave Restaurant Group, Inc.","RAVE",1.03
"2298","Ping Identity Holding Corp.","PING",20.86
"2299","Piedmont Office Realty Trust, Inc.","PDM",19.66
"2300","SAP SE - ADR","SAP",138.3
"2301","ObsEva SA","OBSV",1.94
"2302","Procter & Gamble Co.","PG",162.73
"2303","Realty Income Corp.","O",71.4
"2304","SFL Corp. Ltd.","SFL",8.42
"2305","Organovo Holdings, Inc.","ONVO",3.8
"2306","Retail Value, Inc.","RVI",6.3
"2307","Ribbon Communications, Inc.","RBBN",6.11
"2308","Seritage Growth Properties","SRG",13
"2309","PetroChina Co., Ltd.","PTR",48.02
"2310","Similarweb Ltd","SMWB",17.52
"2311","Pacira Biosciences, Inc.","PCRX",60.16
"2312","PolarityTE, Inc.","PTE",0.61
"2313","Platinum Group Metals Ltd.","PLG",1.63
"2314","Rackspace Technology, Inc.","RXT",13.25
"2315","Roper Technologies, Inc.","ROP",461.32
"2316","Shineco, Inc.","SISI",4.44
"2317","Q2 Holdings, Inc.","QTWO",75.68
"2318","Northwest Bancshares, Inc. (Pennsylvania)","NWBI",14.72
"2319","SenesTech, Inc.","SNES",1.03
"2320","Nordstrom, Inc.","JWN",23.22
"2321","Nu Skin Enterprises, Inc.","NUS",53.68
"2322","Seabridge Gold, Inc.","SA",15.23
"2323","SLM Corp.","SLM",20.34
"2324","Rockwell Automation, Inc.","ROK",327.78
"2325","One Liberty Properties, Inc.","OLP",34.99
"2326","Patterson Cos., Inc.","PDCO",29.37
"2327","Realogy Holdings Corp.","RLGY",16.17
"2328","PubMatic, Inc.","PUBM",26.76
"2329","Novo Nordisk A/S","NVO",101.47
"2330","RISE Education Cayman Ltd.","REDU",0.51
"2331","Sanofi","SNY",50.24
"2332","Novavax, Inc.","NVAX",126.92
"2333","Organon & Co.","OGN",32.4
"2334","Quanterix Corp.","QTRX",34.16
"2335","Reinsurance Group of America, Inc.","RGA",115.9
"2336","Nucor Corp.","NUE",114.49
"2337","Robinhood Markets Inc - Ordinary Shares - Class A","HOOD",15.88
"2338","Quipt Home Medical Corp.","QIPT",5.9
"2339","PDC Energy, Inc.","PDCE",52.81
"2340","Performance Food Group Co.","PFGC",46.75
"2341","Repro-Med Systems, Inc.","KRMD",3.01
"2342","ProPetro Holding Corp.","PUMP",9.6
"2343","Novan, Inc.","NOVN",4
"2344","Smart Sand, Inc.","SND",2.05
"2345","SharpLink Gaming Ltd.","SBET",2.25
"2346","Ra Medical Systems, Inc.","RMED",1.51
"2347","Norwegian Cruise Line Holdings Ltd.","NCLH",22.2
"2348","Ocugen, Inc.","OCGN",4.07
"2349","Regeneron Pharmaceuticals, Inc.","REGN",603.87
"2350","Recro Pharma, Inc.","REPH",1.61
"2351","Ocular Therapeutix, Inc.","OCUL",6.43
"2352","OUTFRONT Media, Inc.","OUT",26.21
"2353","Qorvo, Inc.","QRVO",154.57
"2354","Sangamo Therapeutics, Inc.","SGMO",6.77
"2355","Origin Agritech Ltd.","SEED",6.9
"2356","Sensus Healthcare, Inc.","SRTS",8.19
"2357","Packaging Corporation of America","PKG",137.83
"2358","Orchid Island Capital, Inc.","ORC",4.63
"2359","Ormat Technologies, Inc.","ORA",75.89
"2360","Polar Power, Inc.","POLA",3.49
"2361","Ovintiv, Inc.","OVV",37.81
"2362","Salarius Pharmaceuticals, Inc.","SLRX",0.48
"2363","Qilian International Holding Group Ltd.","QLI",2.49
"2364","RealNetworks, Inc.","RNWK",0.92
"2365","SeaChange International, Inc.","SEAC",1.51
"2366","Paychex, Inc.","PAYX",128.84
"2367","Rockwell Medical, Inc.","RMTI",0.4
"2368","Plains GP Holdings LP","PAGP",10.92
"2369","Old Republic International Corp.","ORI",25.5
"2370","Progyny, Inc.","PGNY",43.78
"2371","Six Flags Entertainment Corp.","SIX",43.82
"2372","Rent-A-Center, Inc.","RCII",46.63
"2373","SEMrush Holdings Inc - Ordinary Shares - Class A","SEMR",17.42
"2374","Scully Royalty Ltd.","SRL",8.26
"2375","Olink Holding AB","OLK",11.71
"2376","Second Sight Medical Products, Inc.","EYES",1.61
"2377","Paya Holdings, Inc.","PAYA",6.56
"2378","PPL Corp.","PPL",30.25
"2379","Pool Corp.","POOL",503.11
"2380","Pioneer Natural Resources Co.","PXD",199.05
"2381","Siyata Mobile, Inc.","SYTA",1.86
"2382","SELLAS Life Sciences Group, Inc.","SLS",5.58
"2383","RYB Education, Inc.","RYB",2.13
"2384","Qurate Retail, Inc.","QRTEA",8.04
"2385","Onconova Therapeutics, Inc.","ONTX",2.28
"2386","Silence Therapeutics Plc","SLN",23.7
"2387","OGE Energy Corp.","OGE",37.53
"2388","PS Business Parks, Inc.","PSB",178.68
"2389","Office Depot, Inc.","ODP",41.25
"2390","Nova Ltd.","NVMI",131.99
"2391","Norfolk Southern Corp.","NSC",296.81
"2392","Pluristem Therapeutics, Inc.","PSTI",1.45
"2393","Sinclair Broadcast Group, Inc.","SBGI",28.85
"2394","Ortho Clinical Diagnostics Holdings Plc","OCDX",19.98
"2395","PerkinElmer, Inc. (United States)","PKI",181.65
"2396","Park Hotels & Resorts, Inc.","PK",19.81
"2397","Schrödinger, Inc.","SDGR",31.94
"2398","NVIDIA Corp.","NVDA",272.28
"2399","Sabre Corp.","SABR",9.31
"2400","Nouveau Monde Graphite, Inc.","NMG",7.49
"2401","Simmons First National Corp.","SFNC",32.07
"2402","SM Energy Co.","SM",32.81
"2403","Owens & Minor, Inc.","OMI",45.07
"2404","Ralph Lauren Corp.","RL",118.05
"2405","Ollie's Bargain Outlet Holdings, Inc.","OLLI",49.71
"2406","Repay Holdings Corp.","RPAY",18.29
"2407","Palantir Technologies, Inc.","PLTR",16.57
"2408","Radware Ltd.","RDWR",36.09
"2409","Precipio, Inc.","PRPO",1.56
"2410","Raytheon Technologies Corp.","RTX",90.44
"2411","Performant Financial Corp.","PFMT",2.21
"2412","Powerbridge Technologies Co. Ltd.","PBTS",0.46
"2413","Owens Corning","OC",89.84
"2414","Purple Innovation, Inc.","PRPL",11.67
"2415","NOV, Inc.","NOV",15.08
"2416","PulteGroup, Inc.","PHM",52.28
"2417","Pinterest, Inc.","PINS",32.42
"2418","Scientific Games Corp.","SGMS",63.54
"2419","Office Properties Income Trust","OPI",27.5
"2420","Shift4 Payments, Inc.","FOUR",56.56
"2421","Senseonics Holdings, Inc.","SENS",2.7
"2422","Occidental Petroleum Corp.","OXY",33.22
"2423","Range Resources Corp.","RRC",18.7
"2424","Osmotica Pharmaceuticals Plc","OSMT",1.03
"2425","Rekor Systems, Inc.","REKR",6.02
"2426","ServiceNow, Inc.","NOW",566.01
"2427","RLJ Lodging Trust","RLJ",14.48
"2428","SailPoint Technologies Holdings, Inc.","SAIL",44.55
"2429","Seagen Inc.","SGEN",143.61
"2430","R1 RCM, Inc.","RCM",23.34
"2431","PagerDuty, Inc.","PD",31.89
"2432","Organogenesis Holdings, Inc.","ORGO",8.27
"2433","Scienjoy Holding Corp.","SJ",5.63
"2434","Perpetua Resources Corp.","PPTA",4.56
"2435","SCWorx Corp.","WORX",1.28
"2436","Pacific Biosciences of California, Inc.","PACB",16.75
"2437","Shake Shack, Inc.","SHAK",69.56
"2438","Pebblebrook Hotel Trust","PEB",23.7
"2439","Nyxoah SA","NYXH",22
"2440","Phillips Edison & Co., Inc.","PECO",34.27
"2441","SciPlay Corp.","SCPL",11.99
"2442","Option Care Health, Inc.","OPCH",25.03
"2443","PayPal Holdings, Inc.","PYPL",187.59
"2444","PagSeguro Digital Ltd.","PAGS",23.69
"2445","Pfizer Inc.","PFE",55.71
"2446","Sirius XM Holdings, Inc.","SIRI",6.2
"2447","Pinduoduo, Inc.","PDD",55.84
"2448","Sapiens International Corp. NV","SPNS",33.01
"2449","Planet Fitness, Inc.","PLNT",91.25
"2450","Northern Trust Corp.","NTRS",129.59
"2451","Oak Street Health, Inc.","OSH",25.47
"2452","PAVmed, Inc.","PAVM",2.04
"2453","Rayonier Advanced Materials, Inc.","RYAM",6.01
"2454","Simon Property Group, Inc.","SPG",161.23
"2455","Rexford Industrial Realty, Inc.","REXR",75.32
"2456","Omeros Corp.","OMER",6.27
"2457","Reed's, Inc.","REED",0.36
"2458","Select Medical Holdings Corp.","SEM",28.03
"2459","O-I Glass, Inc.","OI",13.01
"2460","Silicom Ltd.","SILC",47.5
"2461","Overstock.com, Inc.","OSTK",53.43
"2462","Ocean Power Technologies, Inc.","OPTT",1.4
"2463","Playtika Holding Corp.","PLTK",16.83
"2464","Profire Energy, Inc.","PFIE",1.12
"2465","Skyworks Solutions, Inc.","SWKS",154.13
"2466","ONEOK, Inc.","OKE",62.48
"2467","Opendoor Technologies, Inc.","OPEN",11.36
"2468","Portland General Electric Co.","POR",53.26
"2469","Quidel Corp.","QDEL",124.15
"2470","Proto Labs, Inc.","PRLB",52.23
"2471","Pentair Plc","PNR",69.41
"2472","Pitney Bowes, Inc.","PBI",6.63
"2473","Senmiao Technology Ltd.","AIHS",0.35
"2474","Points.com Inc","PCOM",14.65
"2475","Sientra, Inc.","SIEN",3.1
"2476","Safe-T Group Ltd.","SFET",0.72
"2477","Riot Blockchain, Inc.","RIOT",20.37
"2478","Redfin Corp.","RDFN",33.16
"2479","Regulus Therapeutics, Inc.","RGLS",0.3
"2480","Siebert Financial Corp.","SIEB",2.28
"2481","Old National Bancorp","ONB",19.65
"2482","PROG Holdings, Inc.","PRG",43.31
"2483","Plus Therapeutics, Inc.","PSTV",1.19
"2484","Pharvaris NV","PHVS",17.99
"2485","ResMed, Inc.","RMD",237.13
"2486","Primo Water Corp.","PRMW",17.36
"2487","Royalty Pharma Plc","RPRX",40.26
"2488","Orbital Energy Group, Inc.","OEG",2.07
"2489","Service Properties Trust","SVC",9.7
"2490","NXP Semiconductors NV","NXPI",221.25
"2491","ProQR Therapeutics NV","PRQR",7.03
"2492","Zurn Water Solutions Corp","ZWS",34.7
"2493","OpGen, Inc.","OPGN",0.98
"2494","Polaris Inc.","PII",114.85
"2495","People's United Financial, Inc.","PBCT",20.38
"2496","Qualigen Therapeutics, Inc.","QLGN",1.05
"2497","Prudential Financial, Inc.","PRU",114.82
"2498","NortonLifeLock, Inc.","NLOK",26.6
"2499","PTC Therapeutics, Inc.","PTCT",38.11
"2500","Precision BioSciences, Inc.","DTIL",6.57
"2501","Predictive Oncology, Inc.","POAI",0.96
"2502","Patterson-UTI Energy, Inc.","PTEN",9.63
"2503","SINTX Technologies, Inc.","SINT",0.66
"2504","Nu Holdings Ltd.","NU",9.35
"2505","Paramount Gold Nevada Corp.","PZG",0.67
"2506","Sentage Holdings, Inc.","SNTG",1.01
"2507","Oil States International, Inc.","OIS",5.87
"2508","Planet Green Holdings Corp.","PLAG",0.99
"2509","Rubius Therapeutics, Inc.","RUBY",9.54
"2510","Skechers U.S.A., Inc.","SKX",46.03
"2511","Nymox Pharmaceutical Corp.","NYMX",1.4
"2512","Saul Centers, Inc.","BFS",53.81
"2513","Public Storage","PSA",355.7
"2514","QuantumScape Corp.","QS",21.02
"2515","Preferred Apartment Communities, Inc.","APTS",17.91
"2516","ShiftPixy, Inc.","PIXY",0.91
"2517","Selecta Biosciences, Inc.","SELB",2.91
"2518","Sabra Health Care REIT, Inc.","SBRA",14.31
"2519","Pyxis Tankers, Inc.","PXS",0.51
"2520","Principal Financial Group, Inc.","PFG",76.28
"2521","One Stop Systems, Inc.","OSS",4.77
"2522","Old Dominion Freight Line, Inc.","ODFL",332.57
"2523","Optibase Ltd.","OBAS",11.99
"2524","Roblox Corporation - Ordinary Shares - Class A","RBLX",84.37
"2525","Phillips 66","PSX",81.95
"2526","Pioneer Power Solutions, Inc.","PPSI",7.72
"2527","salesforce.com, inc.","CRM",228.26
"2528","SCYNEXIS, Inc.","SCYX",6.32
"2529","Papa John's International, Inc.","PZZA",127.67
"2530","Prothena Corp. Plc","PRTA",41.3
"2531","ReWalk Robotics Ltd.","RWLK",1.2
"2532","Regency Centers Corp.","REG",75.71
"2533","SBA Communications Corp.","SBAC",347.68
"2534","Ross Stores, Inc.","ROST",104.96
"2535","Progenity, Inc.","PROG",1.93
"2536","Power REIT","PW",69.19
"2537","PTC, Inc.","PTC",115.15
"2538","Opera Ltd.","OPRA",6.79
"2539","Ready Capital Corp.","RC",16.03
"2540","SeaWorld Entertainment, Inc.","SEAS",68.34
"2541","Oatly Group AB","OTLY",7.98
"2542","Roku, Inc.","ROKU",180.36
"2543","Sendas Distribuidora SA","ASAI",10.14
"2544","Physicians Realty Trust","DOC",18.86
"2545","Sino-Global Shipping America Ltd.","SINO",4.97
"2546","Porch Group, Inc.","PRCH",13.11
"2547","Silvercorp Metals, Inc.","SVM",3.42
"2548","Pilgrim's Pride Corp.","PPC",28.46
"2549","Oncolytics Biotech, Inc.","ONCY",1.31
"2550","NuCana Plc","NCNA",2.44
"2551","Shopify, Inc.","SHOP",1144.09
"2552","Protalix Biotherapeutics, Inc.","PLX",0.84
"2553","OneSmart International Education Group Ltd","ONE",0.29
"2554","Professional Diversity Network, Inc.","IPDN",0.87
"2555","SG Blocks, Inc.","SGBX",1.91
"2556","Penn National Gaming, Inc.","PENN",47.27
"2557","Outlook Therapeutics, Inc.","OTLK",1.26
"2558","Rollins, Inc.","ROL",33.7
"2559","Recon Technology Ltd.","RCON",1.27
"2560","Ring Energy, Inc.","REI",2.77
"2561","Salem Media Group, Inc.","SALM",3.15
"2562","Open Text Corp.","OTEX",46.14
"2563","Pampa Energía SA","PAM",19.13
"2564","Oncternal Therapeutics, Inc.","ONCT",2.13
"2565","OrganiGram Holdings, Inc.","OGI",1.63
"2566","PEDEVCO Corp.","PED",1.16
"2567","Oblong, Inc.","OBLG",0.94
"2568","Parsons Corp.","PSN",33.18
"2569","Renren Inc.","RENN",18.23
"2570","Party City Holdco, Inc.","PRTY",6.4
"2571","Sensata Technologies Holding Plc","ST",62.91
"2572","SandRidge Energy, Inc.","SD",10.88
"2573","ServiceSource International, Inc.","SREV",1.03
"2574","OneConnect Financial Technology Co. Ltd.","OCFT",2.29
"2575","Regencell Bioscience Holdings Ltd.","RGC",31.57
"2576","O'Reilly Automotive, Inc.","ORLY",682.65
"2577","Redwood Trust, Inc.","RWT",13.03
"2578","Petróleo Brasileiro SA","PBR/A",9.97
"2579","Playa Hotels & Resorts NV","PLYA",7.95
"2580","Oracle Corp.","ORCL",87.5
"2581","Provention Bio, Inc.","PRVB",5.23
"2582","Orphazyme A/S","ORPH",2.33
"2583","Personalis, Inc.","PSNL",12.91
"2584","Robert Half International, Inc.","RHI",110.01
"2585","Sachem Capital Corp.","SACH",6.18
"2586","Pangaea Logistics Solutions Ltd.","PANL",3.95
"2587","Orchard Therapeutics Plc","ORTX",1.28
"2588","OptiNose, Inc.","OPTN",1.79
"2589","Oshkosh Corp.","OSK",119.74
"2590","Oncocyte Corporation","OCX",2.07
"2591","RLX Technology, Inc.","RLX",3.67
"2592","PetMed Express, Inc.","PETS",24.83
"2593","Rapid7, Inc.","RPD",100.88
"2594","Pintec Technology Holdings Ltd.","PT",0.48
"2595","Qualys, Inc.","QLYS",125.52
"2596","Renewable Energy Group, Inc.","REGI",45.88
"2597","S&P Global, Inc.","SPGI",446.77
"2598","Omnicom Group, Inc.","OMC",78.38
"2599","Remark Holdings, Inc.","MARK",0.96
"2600","PacWest Bancorp","PACW",49.91
"2601","Skillful Craftsman Education Technology Ltd.","EDTK",0.98
"2602","Rada Electronic Industries Ltd.","RADA",9.32
"2603","Red Rock Resorts, Inc.","RRR",50.42
"2604","Nutanix, Inc.","NTNX",30.49
"2605","Performance Shipping, Inc.","PSHG",3.75
"2606","Quanta Services, Inc.","PWR",106.66
"2607","SITE Centers Corp.","SITC",16.02
"2608","Rayonier, Inc.","RYN",38.9
"2609","Republic Services, Inc.","RSG",133.79
"2610","QIAGEN NV","QGEN",50.41
"2611","PACCAR, Inc.","PCAR",93.43
"2612","Postal Realty Trust, Inc.","PSTL",19.18
"2613","Plymouth Industrial REIT, Inc.","PLYM",28.86
"2614","Ovid Therapeutics, Inc.","OVID",3.31
"2615","PepsiCo, Inc.","PEP",174.06
"2616","Peabody Energy Corp.","BTU",11.37
"2617","OceanFirst Financial Corp.","OCFC",23.71
"2618","RCM Technologies, Inc.","RCMT",6.99
"2619","PVH Corp.","PVH",107
"2620","Rivian Automotive, Inc.","RIVN",86.27
"2621","SilverCrest Metals, Inc.","SILV",7.03
"2622","ON Semiconductor Corp.","ON",64.44
"2623","Portage Biotech, Inc.","PRTG",11.15
"2624","Digimarc Corp.","DMRC",37.58
"2625","Compass Pathways Plc","CMPS",18.85
"2626","Comstock Mining, Inc.","LODE",1.41
"2627","Electrameccanica Vehicles Corp.","SOLO",2.19
"2628","Enerpac Tool Group Corp.","EPAC",20.4
"2629","Dada Nexus Ltd.","DADA",11.48
"2630","CorVel Corp.","CRVL",190.59
"2631","eBay, Inc.","EBAY",66.32
"2632","Corteva, Inc.","CTVA",48.42
"2633","E-Home Household Service Holdings Ltd.","EJH",1.3
"2634","Enanta Pharmaceuticals, Inc.","ENTA",68.87
"2635","Energous Corp.","WATT",1.24
"2636","Color Star Technology Co., Ltd.","CSCW",0.5
"2637","DigitalBridge Group, Inc.","DBRG",7.7
"2638","CoreCivic, Inc.","CXW",10.37
"2639","Columbus McKinnon Corp.","CMCO",48.93
"2640","Commerce Bancshares, Inc. (Missouri)","CBSH",73.37
"2641","Clearfield, Inc.","CLFD",71.81
"2642","Cresud SA","CRESY",4.64
"2643","EMCOR Group, Inc.","EME",125.56
"2644","Dillard's, Inc.","DDS",233.19
"2645","CMC Materials, Inc.","CCMP",189.38
"2646","Cracker Barrel Old Country Store, Inc.","CBRL",136.38
"2647","Dun & Bradstreet Holdings, Inc.","DNB",19.65
"2648","Emergent BioSolutions, Inc.","EBS",48.81
"2649","Eastman Kodak Co.","KODK",4.55
"2650","CRISPR Therapeutics AG","CRSP",67.75
"2651","Comcast Corp.","CMCSA",50.04
"2652","Constellation Brands, Inc.","STZ/B",226.15
"2653","Compugen Ltd.","CGEN",4.13
"2654","Day One Biopharmaceuticals, Inc.","DAWN",16.05
"2655","Creative Realities, Inc.","CREX",1.44
"2656","Cross Country Healthcare, Inc.","CCRN",25.95
"2657","Coca-Cola Europacific Partners Plc","CCEP",57.81
"2658","Elys Game Technology Corp.","ELYS",2.59
"2659","Consolidated Edison, Inc.","ED",85.69
"2660","Enovix Corp.","ENVX",19.81
"2661","Curtiss-Wright Corp.","CW",138.81
"2662","EchoStar Corp.","SATS",26.13
"2663","Daqo New Energy Corp.","DQ",40.06
"2664","Enterprise Bancorp, Inc.","EBTC",44.89
"2665","Dentsply Sirona, Inc.","XRAY",56.41
"2666","CymaBay Therapeutics, Inc.","CBAY",3.3
"2667","Commvault Systems, Inc.","CVLT",66.7
"2668","Cocrystal Pharma, Inc.","COCP",0.59
"2669","Diffusion Pharmaceuticals, Inc.","DFFN",0.3
"2670","Citizens Financial Group, Inc. (Rhode Island)","CFG",54.22
"2671","DT Midstream, Inc.","DTM",49.41
"2672","Codorus Valley Bancorp, Inc.","CVLY",22.08
"2673","Donegal Group, Inc.","DGICB",14.51
"2674","CTS Corp.","CTS",36.32
"2675","Design Therapeutics, Inc.","DSGN",17.94
"2676","CVS Health Corp.","CVS",104.19
"2677","Clover Health Investments Corp.","CLOV",3.15
"2678","Daseke, Inc.","DSKE",9.76
"2679","Edison International","EIX",65
"2680","Eagle Materials, Inc.","EXP",161.09
"2681","Dorman Products, Inc.","DORM",108.04
"2682","Coupa Software, Inc.","COUP",137.62
"2683","Colony Bankcorp, Inc.","CBAN",17.85
"2684","Ebix, Inc.","EBIX",30.29
"2685","Dream Finders Homes, Inc.","DFH",18.08
"2686","Electronic Arts, Inc.","EA",131.82
"2687","Energy Recovery, Inc.","ERII",19.83
"2688","COMSovereign Holding Corp.","COMS",0.66
"2689","CIRCOR International, Inc.","CIR",25.71
"2690","Criteo SA","CRTO",35.68
"2691","ENDRA Life Sciences, Inc.","NDRA",0.7
"2692","Cirrus Logic, Inc.","CRUS",88.07
"2693","Cutera, Inc.","CUTR",37.08
"2694","Citizens, Inc. (Austin, Texas)","CIA",5.31
"2695","comScore, Inc.","SCOR",3.37
"2696","Citizens Holding Co. (Mississippi)","CIZN",18.65
"2697","Coastal Financial Corp. (Washington)","CCB",53.45
"2698","Delek US Holdings, Inc.","DK",17.01
"2699","DMC Global, Inc.","BOOM",43.17
"2700","CTO Realty Growth, Inc.","CTO",62.81
"2701","CoStar Group, Inc.","CSGP",71.87
"2702","Dave & Buster's Entertainment, Inc.","PLAY",38.41
"2703","DoorDash, Inc.","DASH",132.23
"2704","ContextLogic, Inc.","WISH",2.74
"2705","Constellium SE","CSTM",18.68
"2706","Coda Octopus Group, Inc.","CODA",7.56
"2707","Cosan SA","CSAN",14.03
"2708","Daktronics, Inc.","DAKT",5.16
"2709","ClearOne, Inc.","CLRO",1.37
"2710","CMS Energy Corp.","CMS",65.06
"2711","Costco Wholesale Corp.","COST",536.07
"2712","CSX Corp.","CSX",37.5
"2713","Crown Castle International Corp.","CCI",194.72
"2714","Custom Truck One Source, Inc.","CTOS",7.81
"2715","Clene, Inc.","CLNN",3.94
"2716","Consumer Portfolio Services, Inc.","CPSS",11.28
"2717","Dover Corp.","DOV",182.96
"2718","Credit Acceptance Corp.","CACC",633.89
"2719","Electro-Sensors, Inc.","ELSE",5.95
"2720","Energy Fuels, Inc.","UUUU",8.35
"2721","Daré Bioscience, Inc.","DARE",1.77
"2722","Eldorado Gold Corp.","EGO",9.07
"2723","Energizer Holdings, Inc.","ENR",40.8
"2724","Decibel Therapeutics, Inc.","DBTX",4.55
"2725","Endeavour Silver Corp.","EXK",3.86
"2726","Eloxx Pharmaceuticals, Inc.","ELOX",0.63
"2727","Core Molding Technologies, Inc.","CMT",8.68
"2728","DBV Technologies SA","DBVT",1.69
"2729","Codex DNA, Inc.","DNAY",9.41
"2730","Duos Technologies Group, Inc.","DUOT",5.25
"2731","Encompass Health Corp.","EHC",64.48
"2732","Diana Shipping, Inc.","DSX",4.09
"2733","CYREN Ltd.","CYRN",0.3
"2734","Community West Bancshares","CWBC",13.85
"2735","Eli Lilly & Co.","LLY",259.53
"2736","Dropbox, Inc.","DBX",23.61
"2737","Crane Co.","CR",104.9
"2738","Cornerstone Building Brands, Inc.","CNR",16.6
"2739","Elbit Systems Ltd.","ESLT",176.4
"2740","D.R. Horton, Inc.","DHI",95.2
"2741","CVRx, Inc.","CVRX",10.52
"2742","Energy Focus, Inc.","EFOI",3.43
"2743","DXP Enterprises, Inc.","DXPE",26.42
"2744","Endo International Plc","ENDP",3.59
"2745","Companhia Brasileira de Distribuicao","CBD",3.4
"2746","Daxor Corp.","DXR",11.44
"2747","CS Disco, Inc.","LAW",32.05
"2748","Deere & Co.","DE",378.5
"2749","CNB Financial Corp. (Pennsylvania)","CCNE",27.82
"2750","Cowen, Inc.","COWN",35.77
"2751","Dow, Inc.","DOW",59.09
"2752","Citizens Community Bancorp, Inc. (Wisconsin)","CZWI",14
"2753","Delta Air Lines, Inc.","DAL",41.51
"2754","Document Security Systems, Inc.","DSS",0.66
"2755","Cyclerion Therapeutics, Inc.","CYCN",1.5
"2756","Cytokinetics, Inc.","CYTK",35.14
"2757","Didi Global, Inc.","DIDI",4.51
"2758","Digital Media Solutions, Inc.","DMS",4.5
"2759","Citrix Systems, Inc.","CTXS",95.7
"2760","Crocs, Inc.","CROX",125.74
"2761","DouYu International Holdings Ltd.","DOYU",2.49
"2762","Dril-Quip, Inc.","DRQ",22.7
"2763","Clearway Energy, Inc.","CWEN/A",31.27
"2764","Earthstone Energy, Inc.","ESTE",13.16
"2765","Conn's, Inc.","CONN",24.09
"2766","Diamondback Energy, Inc.","FANG",121.56
"2767","Conduent, Inc.","CNDT",5.94
"2768","Columbia Financial, Inc.","CLBK",21.06
"2769","Corning, Inc.","GLW",37.97
"2770","Encore Wire Corp. (Delaware)","WIRE",128.92
"2771","Culp, Inc.","CULP",9.96
"2772","Crown ElectroKinetics Corp.","CRKN",3.3
"2773","CVB Financial Corp.","CVBF",22.89
"2774","CommScope Holding Co., Inc.","COMM",10.82
